timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-09-05T00:00:00.000Z";"2023-09-05T23:59:59.999Z";"2023-09-05T15:19:00.000Z";"2023-09-05T03:14:00.000Z";50.6422880812;52.0214221226;50.3107515445;51.7004493095;43303575.15537144;746729315.1548063;"2023-09-05T23:59:59.999Z"
"2023-09-04T00:00:00.000Z";"2023-09-04T23:59:59.999Z";"2023-09-04T03:21:00.000Z";"2023-09-04T22:02:00.000Z";50.7680413322;51.420532154;50.237545214;50.6405686786;46095584.26287535;736127082.8747948;"2023-09-04T23:59:59.999Z"
"2023-09-03T00:00:00.000Z";"2023-09-03T23:59:59.999Z";"2023-09-03T00:01:00.000Z";"2023-09-03T16:55:00.000Z";51.0930463237;51.1347216732;50.2096960007;50.768476107;53955696.3870727;737669221.3154066;"2023-09-03T23:59:59.999Z"
"2023-09-02T00:00:00.000Z";"2023-09-02T23:59:59.999Z";"2023-09-02T23:30:00.000Z";"2023-09-02T18:25:00.000Z";50.5531523085;51.2112051998;50.1432179427;51.0909628201;58349425.065338716;742280235.6577657;"2023-09-02T23:59:59.999Z"
"2023-09-01T00:00:00.000Z";"2023-09-01T23:59:59.999Z";"2023-09-01T00:49:00.000Z";"2023-09-01T18:04:00.000Z";51.2047798234;51.4702376771;49.7734338321;50.5530332929;56643853.25497189;730740181.0359583;"2023-09-01T23:59:59.999Z"
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T17:22:00.000Z";52.8522877634;53.2493406188;50.7613194169;51.2032132113;57582835.41231424;737876380.5203979;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:22:00.000Z";"2023-08-30T15:07:00.000Z";54.7629809533;54.8353803988;52.6540110969;52.8508895405;56148892.89631793;771946705.5448283;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T10:39:00.000Z";53.8190164591;55.8821590505;52.4653583387;54.7624548618;68188904.75950544;798650087.2031926;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T23:28:00.000Z";"2023-08-28T10:19:00.000Z";53.9418577976;53.9418577976;52.204181865;53.8185660116;52173393.476529114;783787883.5150154;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:59:00.000Z";"2023-08-27T03:09:00.000Z";52.4700411035;53.9332409943;52.4678950578;53.9332409943;52296245.50509312;783510401.1111501;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T04:16:00.000Z";"2023-08-26T19:05:00.000Z";52.6952221682;53.0560144295;52.1743340195;52.4702299618;48129831.06699644;762110097.0089909;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:04:00.000Z";"2023-08-25T15:04:00.000Z";53.1194043947;53.826088953;51.8338917221;52.6967688866;63246417.91316205;765123871.6384515;"2023-08-25T23:59:59.999Z"
