Date,Open,High,Low,Close,Adj Close,Volume
2020-08-28,2.876791,4.365713,1.060239,2.139299,2.139299,8216837
2020-08-29,2.134173,2.503092,0.585023,0.996454,0.996454,20469430
2020-08-30,1.021171,3.162148,1.015685,2.636097,2.636097,78842346
2020-08-31,2.636097,5.998525,2.344522,5.624969,5.624969,219143210
2020-09-01,5.625150,9.965218,5.218801,7.477907,7.477907,496730559
2020-09-02,7.461159,7.627762,5.209690,6.090207,6.090207,490613597
2020-09-03,6.107286,7.433732,4.037793,4.216180,4.216180,487360005
2020-09-04,4.193342,4.849093,3.785412,3.894091,3.894091,289743661
2020-09-05,3.880822,4.239806,1.169665,1.645702,1.645702,417055536
2020-09-06,1.623246,2.941206,0.986382,2.697863,2.697863,936419515
2020-09-07,2.701156,2.795030,1.897182,2.400755,2.400755,543182045
2020-09-08,2.405521,2.501444,1.965798,2.020573,2.020573,283664814
2020-09-09,2.016118,2.679889,1.861820,2.438408,2.438408,398461695
2020-09-10,2.442766,2.644930,1.916279,2.020966,2.020966,302279551
2020-09-11,2.018423,2.471264,1.773093,2.286003,2.286003,391518778
2020-09-12,2.296750,2.296750,1.977950,2.208557,2.208557,330286212
2020-09-13,2.210009,2.217717,1.865431,1.966127,1.966127,196615246
2020-09-14,1.958280,2.252486,1.839607,2.077075,2.077075,286265374
2020-09-15,2.077075,2.215193,1.465696,1.487497,1.487497,349576972
2020-09-16,1.489427,1.515117,1.251998,1.282957,1.282957,186051311
2020-09-17,1.286582,1.405876,1.126210,1.300387,1.300387,185069583
2020-09-18,1.296955,1.553504,1.296955,1.424596,1.424596,238286120
2020-09-19,1.429855,1.639668,1.364389,1.508058,1.508058,186406256
2020-09-20,1.501757,1.633809,1.338794,1.390301,1.390301,180239058
2020-09-21,1.390301,1.459310,1.167575,1.208846,1.208846,147847637
2020-09-22,1.207161,1.241856,1.132215,1.186793,1.186793,83494287
2020-09-23,1.188601,1.233770,1.059305,1.090615,1.090615,143738339
2020-09-24,1.090692,1.260329,1.074905,1.206203,1.206203,119321902
2020-09-25,1.209341,1.236099,1.155011,1.206483,1.206483,76621912
2020-09-26,1.206240,1.237314,1.168052,1.200836,1.200836,58375110
2020-09-27,1.200548,1.240219,1.157259,1.184291,1.184291,50208141
2020-09-28,1.181510,1.197489,1.077534,1.087052,1.087052,56574654
2020-09-29,1.087052,1.101165,1.023377,1.069202,1.069202,58214782
2020-09-30,1.067402,1.129587,1.059496,1.094382,1.094382,63568509
2020-10-01,1.096069,1.149259,1.031087,1.066170,1.066170,57223980
2020-10-02,1.064907,1.077224,0.915012,0.956466,0.956466,67389253
2020-10-03,0.955716,0.962104,0.897702,0.897702,0.897702,33297962
2020-10-04,0.902309,0.910591,0.742239,0.745486,0.745486,70231865
2020-10-05,0.748759,0.799110,0.698889,0.717348,0.717348,87395223
2020-10-06,0.717467,0.719896,0.537231,0.544092,0.544092,129223626
2020-10-07,0.544568,0.555575,0.472807,0.555575,0.555575,118200732
2020-10-08,0.565319,0.672676,0.509204,0.654375,0.654375,125559825
2020-10-09,0.657062,0.733243,0.629199,0.699912,0.699912,92237345
2020-10-10,0.699608,0.733251,0.622764,0.633137,0.633137,77727322
2020-10-11,0.632043,0.661697,0.592250,0.643210,0.643210,63756320
2020-10-12,0.642958,0.674774,0.621906,0.644577,0.644577,44136252
2020-10-13,0.644304,0.651856,0.609937,0.627560,0.627560,34310186
2020-10-14,0.628332,0.649977,0.590736,0.614952,0.614952,35485810
2020-10-15,0.613230,0.613230,0.572887,0.599551,0.599551,36305298
2020-10-16,0.599730,0.603005,0.550837,0.556742,0.556742,37697986
2020-10-17,0.558643,0.578440,0.550510,0.566316,0.566316,21194156
2020-10-18,0.566028,0.610379,0.564939,0.608626,0.608626,26674199
2020-10-19,0.609193,0.609937,0.570236,0.575806,0.575806,25655183
2020-10-20,0.576681,0.576681,0.518991,0.529146,0.529146,26695085
2020-10-21,0.530569,0.584591,0.527222,0.560455,0.560455,33240232
2020-10-22,0.560888,0.604211,0.557985,0.562175,0.562175,27865405
2020-10-23,0.564421,0.586554,0.545979,0.559725,0.559725,21003424
2020-10-24,0.559725,0.563740,0.545198,0.553964,0.553964,11884807
2020-10-25,0.553964,0.554512,0.521717,0.525760,0.525760,14415375
2020-10-26,0.525760,0.542980,0.500643,0.530982,0.530982,25170945
2020-10-27,0.530982,0.597893,0.529515,0.582739,0.582739,47927200
2020-10-28,0.582740,0.593517,0.521785,0.543965,0.543965,42322694
2020-10-29,0.543965,0.576136,0.530351,0.550146,0.550146,31151352
2020-10-30,0.550126,0.555497,0.505460,0.512855,0.512855,30649803
2020-10-31,0.512865,0.541700,0.506016,0.518145,0.518145,18346191
2020-11-01,0.518133,0.526766,0.509738,0.519383,0.519383,12423562
2020-11-02,0.519402,0.532504,0.501072,0.501387,0.501387,22438804
2020-11-03,0.501387,0.501387,0.436220,0.445142,0.445142,26549199
2020-11-04,0.445145,0.450321,0.404729,0.414666,0.414666,21677632
2020-11-05,0.414665,0.453623,0.405167,0.439174,0.439174,20408796
2020-11-06,0.439167,0.527225,0.436358,0.517799,0.517799,24152388
2020-11-07,0.517799,0.596447,0.490829,0.507016,0.507016,45758945
2020-11-08,0.507016,0.554702,0.498198,0.537951,0.537951,20701117
2020-11-09,0.537951,0.551088,0.496043,0.508318,0.508318,20642984
2020-11-10,0.508318,0.582257,0.495810,0.568229,0.568229,23653246
2020-11-11,0.568229,0.638354,0.568229,0.579716,0.579716,38516821
2020-11-12,0.579715,0.611155,0.547835,0.586275,0.586275,31179713
2020-11-13,0.586276,0.824566,0.581955,0.815918,0.815918,75314161
2020-11-14,0.815918,0.921477,0.724775,0.892598,0.892598,112348212
2020-11-15,0.892598,1.180824,0.885481,1.051709,1.051709,170872785
2020-11-16,1.051709,1.235256,0.963740,1.119854,1.119854,177731662
2020-11-17,1.110962,1.207474,1.041016,1.126793,1.126793,114761851
2020-11-18,1.126761,1.140029,0.908433,0.965928,0.965928,89779324
2020-11-19,0.965947,1.385912,0.944472,1.316995,1.316995,216938823
2020-11-20,1.316993,1.508210,1.264242,1.329056,1.329056,176165570
2020-11-21,1.329056,1.458612,1.270310,1.385320,1.385320,122587169
2020-11-22,1.385320,1.469283,1.188685,1.354374,1.354374,127238618
2020-11-23,1.354374,1.413776,1.210706,1.290142,1.290142,119983864
2020-11-24,1.289606,1.336160,1.095147,1.128663,1.128663,132703343
2020-11-25,1.127414,1.260502,0.992505,1.029190,1.029190,97837431
2020-11-26,1.028126,1.192657,0.820814,1.191917,1.191917,175220169
2020-11-27,1.192259,1.256670,1.101794,1.211970,1.211970,143243064
2020-11-28,1.211576,1.234164,1.133438,1.140741,1.140741,66596886
2020-11-29,1.141766,1.216006,1.130211,1.189031,1.189031,53360889
2020-11-30,1.189307,1.319679,1.183691,1.318663,1.318663,94468952
2020-12-01,1.319687,1.660181,1.293142,1.604624,1.604624,338285191
2020-12-02,1.597971,1.950956,1.559081,1.798465,1.798465,333941070
2020-12-03,1.798346,1.829998,1.681604,1.756144,1.756144,149745755
2020-12-04,1.755311,1.770576,1.520433,1.570720,1.570720,143545463
2020-12-05,1.573587,1.914455,1.540982,1.909538,1.909538,177087912
2020-12-06,1.909084,1.918043,1.716163,1.804209,1.804209,121715782
2020-12-07,1.804818,2.047917,1.741308,1.995687,1.995687,173021310
