0.010865	5										1.000000	
0.010849											
0.010833											
0.010816	5	9									0.987066	0.012934	
0.010800	5	9									0.982755	0.017245	
0.010784	5	9									0.978444	0.021556	
0.010768	5	9									0.974133	0.025867	
0.010752	5	9									0.969821	0.030179	
0.010736	5	9									0.965510	0.034490	
0.010719	5	9									0.961199	0.038801	
0.010703	5	9									0.956888	0.043112	
0.010687	5	9									0.952576	0.047424	
0.010671	5	9									0.948265	0.051735	
0.010655	5	9									0.943954	0.056046	
0.010639	5	9									0.939643	0.060357	
0.010622	5	9									0.935331	0.064669	
0.010606	5	9									0.931020	0.068980	
0.010590	5	9									0.926709	0.073291	
0.010574	5	9									0.922398	0.077602	
0.010558	5	9									0.918087	0.081913	
0.010542	5	9									0.913775	0.086225	
0.010525	5	9									0.909464	0.090536	
0.010509	5	9									0.905153	0.094847	
0.010493	5	9									0.900842	0.099158	
0.010477	5	9									0.896530	0.103470	
0.010461	5	9									0.892219	0.107781	
0.010445	5	9									0.887908	0.112092	
0.010428	5	9									0.883597	0.116403	
0.010412	5	9									0.879285	0.120715	
0.010396	5	9									0.874974	0.125026	
0.010380	5	9									0.870663	0.129337	
0.010364	5	9									0.866352	0.133648	
0.010348	5	9									0.862041	0.137959	
0.010331	5	9									0.857729	0.142271	
0.010315	5	9									0.853418	0.146582	
0.010299	5	9									0.849107	0.150893	
0.010283	5	9									0.844795	0.155205	
0.010267	5	9									0.840485	0.159515	
0.010251	5	9									0.836173	0.163827	
0.010234	5	9									0.831862	0.168138	
0.010218	5	9									0.827551	0.172449	
0.010202	5	9									0.823239	0.176761	
0.010186	5	9									0.818928	0.181072	
0.010170	5	9									0.814617	0.185383	
0.010154	5	9									0.810306	0.189694	
0.010137	5	9									0.805994	0.194006	
0.010121	5	9									0.801683	0.198317	
0.010105	5	9									0.797372	0.202628	
0.010089	5	9									0.793061	0.206939	
0.010073	5	9									0.788750	0.211250	
0.010057	5	9									0.784438	0.215562	
0.010040	5	9									0.780125	0.219875	
0.010024	5	9									0.775813	0.224187	
0.010008	5	9	29								0.775721	0.212089	0.012191	
0.009992	5	9	29								0.772601	0.211763	0.015636	
0.009976	5	9	29								0.769481	0.211437	0.019082	
0.009960	5	9	29								0.766362	0.211111	0.022527	
0.009943	5	9	29								0.763242	0.210785	0.025973	
0.009927	5	9	29								0.760122	0.210460	0.029418	
0.009911	5	9	29								0.757003	0.210134	0.032864	
0.009895	5	9	29								0.753883	0.209808	0.036309	
0.009879	5	9	29								0.750763	0.209482	0.039755	
0.009863	5	9	29								0.747644	0.209156	0.043200	
0.009846	5	9	29								0.744524	0.208831	0.046645	
0.009830	5	9	29								0.741404	0.208505	0.050091	
0.009814	5	9	29								0.738285	0.208179	0.053536	
0.009798	5	9	29								0.735165	0.207853	0.056982	
0.009782	5	9	29								0.732045	0.207527	0.060427	
0.009766	5	9	29								0.728926	0.207202	0.063873	
0.009749	5	9	29								0.725806	0.206876	0.067318	
0.009733	5	9	29								0.722686	0.206550	0.070764	
0.009717	5	9	29								0.719567	0.206224	0.074209	
0.009701	5	9	29								0.716447	0.205898	0.077655	
0.009685	5	9	29								0.713327	0.205573	0.081100	
0.009669	5	9	29								0.710208	0.205247	0.084545	
0.009652	5	9	29								0.707088	0.204921	0.087991	
0.009636	5	9	29								0.703968	0.204595	0.091436	
0.009620	5	9	29								0.700849	0.204269	0.094882	
0.009604	5	9	29								0.697729	0.203944	0.098327	
0.009588	5	9	29								0.694609	0.203618	0.101773	
0.009572	5	9	29								0.691490	0.203292	0.105218	
0.009555	5	9	29								0.688370	0.202966	0.108664	
0.009539	5	9	29								0.685251	0.202640	0.112109	
0.009523	5	9	29								0.682131	0.202315	0.115555	
0.009507	5	9	29								0.679011	0.201989	0.119000	
0.009491	5	9	29								0.675892	0.201663	0.122445	
0.009474	5	9	29								0.672772	0.201337	0.125891	
0.009458	5	9	29								0.669652	0.201011	0.129336	
0.009442	5	9	29								0.666533	0.200686	0.132782	
0.009426	5	9	29								0.663413	0.200360	0.136227	
0.009410	5	9	29								0.660293	0.200034	0.139673	
0.009394	5	9	29								0.657174	0.199708	0.143118	
0.009377	5	9	29								0.654054	0.199382	0.146564	
0.009361	5	9	29								0.650934	0.199057	0.150009	
0.009345	5	9	29								0.647815	0.198731	0.153455	
0.009329	5	9	29								0.644695	0.198405	0.156900	
0.009313	5	9	29								0.641575	0.198079	0.160345	
0.009297	5	9	29								0.638456	0.197753	0.163791	
0.009280	5	9	29								0.635336	0.197428	0.167236	
0.009264	5	9	29								0.632216	0.197102	0.170682	
0.009248	5	9	29								0.629097	0.196776	0.174127	
0.009232	5	9	29								0.625977	0.196450	0.177573	
0.009216	5	9	29								0.622857	0.196124	0.181018	
0.009200	5	9	29								0.619738	0.195799	0.184464	
0.009183	5	9	29								0.616618	0.195473	0.187909	
0.009167	5	9	29								0.613498	0.195147	0.191355	
0.009151	5	9	29								0.610379	0.194821	0.194800	
0.009135	5	9	29								0.607259	0.194495	0.198245	
0.009119	5	9	29								0.604139	0.194170	0.201691	
0.009103	5	9	29								0.601020	0.193844	0.205136	
0.009086	5	9	29								0.597900	0.193518	0.208582	
0.009070	5	9	29								0.594781	0.193192	0.212027	
0.009054	5	9	29								0.591661	0.192866	0.215473	
0.009038	5	9	29								0.588541	0.192541	0.218918	
0.009022	5	9	29								0.585422	0.192215	0.222364	
0.009006	5	9	29								0.582302	0.191889	0.225809	
0.008989	5	9	29								0.579182	0.191563	0.229255	
0.008973	5	9	29								0.576063	0.191237	0.232700	
0.008957	5	9	29								0.572943	0.190912	0.236145	
0.008941	5	9	29								0.569823	0.190586	0.239591	
0.008925	5	9	29								0.566704	0.190260	0.243036	
0.008909	5	9	29								0.563584	0.189934	0.246482	
0.008892	5	9	29								0.560464	0.189608	0.249927	
0.008876	5	9	29								0.557345	0.189283	0.253373	
0.008860	5	9	29								0.554225	0.188957	0.256818	
0.008844	5	9	29								0.551105	0.188631	0.260264	
0.008828	5	9	29								0.547986	0.188305	0.263709	
0.008811	5	9	29								0.544866	0.187979	0.267155	
0.008795	5	9	29								0.541746	0.187654	0.270600	
0.008779	5	9	29								0.538627	0.187328	0.274045	
0.008763	5	9	29								0.535507	0.187002	0.277491	
0.008747	5	9	29								0.532387	0.186676	0.280936	
0.008731	5	9	29								0.529268	0.186350	0.284382	
0.008714	5	9	29								0.526148	0.186025	0.287827	
0.008698	5	9	29								0.523028	0.185699	0.291273	
0.008682	5	9	29								0.519909	0.185373	0.294718	
0.008666	5	9	29								0.516789	0.185047	0.298164	
0.008650	5	9	29								0.513669	0.184721	0.301609	
0.008634	5	9	29								0.510550	0.184396	0.305055	
0.008617	5	9	29								0.507430	0.184070	0.308500	
0.008601	5	9	29								0.504310	0.183744	0.311945	
0.008585	5	9	29								0.501191	0.183418	0.315391	
0.008569	5	9	29								0.498071	0.183092	0.318836	
0.008553	5	9	29								0.494951	0.182767	0.322282	
0.008537	5	9	29								0.491832	0.182441	0.325727	
0.008520	5	9	29								0.488712	0.182115	0.329173	
0.008504	5	9	29								0.485593	0.181789	0.332618	
0.008488	5	9	29								0.482473	0.181463	0.336064	
0.008472	5	9	29								0.479353	0.181138	0.339509	
0.008456	5	9	29								0.476234	0.180812	0.342954	
0.008440	5	9	29								0.473114	0.180486	0.346400	
0.008423	5	9	29								0.469995	0.180160	0.349845	
0.008407	5	9	29								0.466875	0.179835	0.353290	
0.008391	5	9	26	29							0.466012	0.178751	0.010163	0.345074	
0.008375	5	9	26	29							0.463319	0.178282	0.012082	0.346317	
0.008359	5	9	26	29							0.460625	0.177813	0.014001	0.347560	
0.008343	5	9	26	29							0.457932	0.177344	0.015920	0.348804	
0.008326	5	9	26	29							0.455239	0.176875	0.017840	0.350047	
0.008310	5	9	26	29							0.452545	0.176406	0.019759	0.351290	
0.008294	5	9	26	29							0.449852	0.175937	0.021678	0.352533	
0.008278	5	9	26	29							0.447159	0.175468	0.023597	0.353776	
0.008262	5	9	26	29							0.444465	0.174999	0.025516	0.355019	
0.008246	5	9	26	29							0.441772	0.174530	0.027435	0.356262	
0.008229	5	9	26	29							0.439078	0.174061	0.029355	0.357506	
0.008213	5	9	26	29							0.436385	0.173593	0.031274	0.358749	
0.008197	5	9	26	29							0.433692	0.173124	0.033193	0.359992	
0.008181	5	9	26	29							0.430998	0.172655	0.035112	0.361235	
0.008165	5	9	26	29							0.428305	0.172186	0.037031	0.362478	
0.008148	5	9	26	29							0.425611	0.171717	0.038950	0.363721	
0.008132	5	9	26	29							0.422918	0.171248	0.040870	0.364965	
0.008116	5	9	26	29							0.420225	0.170779	0.042789	0.366208	
0.008100	5	9	26	29							0.417531	0.170310	0.044708	0.367451	
0.008084	5	9	26	29							0.414838	0.169841	0.046627	0.368694	
0.008068	5	9	26	29							0.412144	0.169372	0.048546	0.369937	
0.008051	5	9	26	29							0.409451	0.168903	0.050465	0.371180	
0.008035	5	9	26	29							0.406758	0.168434	0.052385	0.372423	
0.008019	5	9	26	29							0.404064	0.167965	0.054304	0.373667	
0.008003	5	9	26	29							0.401371	0.167496	0.056223	0.374910	
0.007987	5	9	26	29							0.398677	0.167028	0.058142	0.376153	
0.007971	5	9	26	29							0.395984	0.166559	0.060061	0.377396	
0.007954	5	9	26	29							0.393291	0.166090	0.061980	0.378639	
0.007938	5	9	26	29							0.390597	0.165621	0.063900	0.379882	
0.007922	5	9	26	29							0.387904	0.165152	0.065819	0.381126	
0.007906	5	9	26	29							0.385210	0.164683	0.067738	0.382369	
0.007890	5	9	26	29							0.382517	0.164214	0.069657	0.383612	
0.007874	5	9	26	29							0.379824	0.163745	0.071576	0.384855	
0.007857	5	9	26	29							0.377130	0.163276	0.073496	0.386098	
0.007841	5	9	26	29							0.374437	0.162807	0.075415	0.387341	
0.007825	5	9	26	29							0.371743	0.162338	0.077334	0.388584	
0.007809	5	9	26	29							0.369050	0.161869	0.079253	0.389828	
0.007793	5	9	26	29							0.366357	0.161400	0.081172	0.391071	
0.007777	5	9	26	29							0.363663	0.160932	0.083091	0.392314	
0.007760	5	9	26	29							0.360970	0.160463	0.085011	0.393557	
0.007744	5	9	26	29							0.358276	0.159994	0.086930	0.394800	
0.007728	5	9	26	29							0.355583	0.159525	0.088849	0.396043	
0.007712	5	9	26	29							0.352890	0.159056	0.090768	0.397286	
0.007696	5	9	26	29							0.350196	0.158587	0.092687	0.398530	
0.007680	5	9	26	29							0.347503	0.158118	0.094606	0.399773	
0.007663	5	9	26	29							0.344810	0.157649	0.096525	0.401016	
0.007647	5	9	26	29							0.342116	0.157180	0.098445	0.402259	
0.007631	5	9	26	29							0.339423	0.156711	0.100364	0.403502	
0.007615	5	9	26	29							0.336729	0.156242	0.102283	0.404745	
0.007599	5	9	26	29							0.334036	0.155773	0.104202	0.405989	
0.007583	5	9	26	29							0.331343	0.155304	0.106121	0.407232	
0.007566	5	9	26	29							0.328649	0.154835	0.108041	0.408475	
0.007550	5	9	26	29							0.325956	0.154367	0.109960	0.409718	
0.007534	5	9	26	29							0.323262	0.153898	0.111879	0.410961	
0.007518	5	9	26	29							0.320569	0.153429	0.113798	0.412204	
0.007502	5	9	26	29							0.317876	0.152960	0.115717	0.413447	
0.007486	5	9	26	29							0.315182	0.152491	0.117636	0.414691	
0.007469	5	9	26	29							0.312489	0.152022	0.119556	0.415934	
0.007453	5	9	26	29							0.309795	0.151553	0.121475	0.417177	
0.007437	5	9	26	29							0.307102	0.151084	0.123394	0.418420	
0.007421	5	9	26	29							0.304409	0.150615	0.125313	0.419663	
0.007405	5	9	26	29							0.301715	0.150146	0.127232	0.420906	
0.007388	5	9	26	29							0.299022	0.149677	0.129151	0.422150	
0.007372	5	9	26	29							0.296328	0.149208	0.131071	0.423393	
0.007356	5	9	26	29							0.293635	0.148739	0.132990	0.424636	
0.007340	5	9	26	29							0.290942	0.148271	0.134909	0.425879	
0.007324	5	9	26	29							0.288248	0.147802	0.136828	0.427122	
0.007308	5	9	26	29							0.285555	0.147333	0.138747	0.428365	
0.007291	5	9	26	29							0.282861	0.146864	0.140666	0.429608	
0.007275	5	9	26	29							0.280168	0.146395	0.142586	0.430852	
0.007259	5	9	26	29							0.277475	0.145926	0.144505	0.432095	
0.007243	5	9	26	29							0.274781	0.145457	0.146424	0.433338	
0.007227	5	9	26	29							0.272088	0.144988	0.148343	0.434581	
0.007211	5	9	26	29							0.269395	0.144519	0.150262	0.435824	
0.007194	5	9	26	29							0.266701	0.144050	0.152181	0.437067	
0.007178	5	9	26	29							0.264008	0.143581	0.154101	0.438311	
0.007162	5	9	26	29							0.261314	0.143112	0.156020	0.439554	
0.007146	5	9	26	29							0.258621	0.142643	0.157939	0.440797	
0.007130	5	9	26	29							0.255928	0.142174	0.159858	0.442040	
0.007114	5	9	26	29							0.253234	0.141706	0.161777	0.443283	
0.007097	5	9	26	29							0.250541	0.141237	0.163696	0.444526	
0.007081	5	9	26	29							0.247847	0.140768	0.165616	0.445769	
0.007065	5	9	26	29							0.245154	0.140299	0.167535	0.447013	
0.007049	5	9	26	29							0.242461	0.139830	0.169454	0.448256	
0.007033	5	9	26	29							0.239767	0.139361	0.171373	0.449499	
0.007017	5	9	26	29							0.237074	0.138892	0.173292	0.450742	
0.007000	5	9	26	29							0.234381	0.138423	0.175211	0.451985	
0.006984	5	9	26	29							0.231688	0.137954	0.177130	0.453228	
0.006968	5	9	26	29							0.228995	0.137485	0.179049	0.454471	
0.006952	5	9	26	28	29						0.232774	0.136807	0.173700	0.011453	0.445266	
0.006936	5	9	26	28	29						0.231515	0.136292	0.174009	0.013991	0.444194	
0.006920	5	9	26	28	29						0.230257	0.135776	0.174317	0.016529	0.443122	
0.006903	5	9	26	28	29						0.228998	0.135261	0.174625	0.019066	0.442049	
0.006887	5	9	26	28	29						0.227739	0.134746	0.174934	0.021604	0.440977	
0.006871	5	9	26	28	29						0.226480	0.134230	0.175242	0.024142	0.439905	
0.006855	5	9	26	28	29						0.225221	0.133715	0.175551	0.026680	0.438833	
0.006839	5	9	26	28	29						0.223963	0.133200	0.175859	0.029218	0.437761	
0.006823	5	9	26	28	29						0.222704	0.132684	0.176168	0.031756	0.436688	
0.006806	5	9	26	28	29						0.221445	0.132169	0.176476	0.034294	0.435616	
0.006790	5	9	26	28	29						0.220186	0.131654	0.176785	0.036832	0.434544	
0.006774	5	9	26	28	29						0.218927	0.131138	0.177093	0.039370	0.433472	
0.006758	5	9	26	28	29						0.217669	0.130623	0.177401	0.041907	0.432400	
0.006742	5	9	26	28	29						0.216410	0.130108	0.177710	0.044445	0.431327	
0.006726	5	9	26	28	29						0.215151	0.129592	0.178018	0.046983	0.430255	
0.006709	5	9	26	28	29						0.213892	0.129077	0.178327	0.049521	0.429183	
0.006693	5	9	26	28	29						0.212633	0.128562	0.178635	0.052059	0.428111	
0.006677	5	9	26	28	29						0.211375	0.128046	0.178944	0.054597	0.427039	
0.006661	5	9	26	28	29						0.210116	0.127531	0.179252	0.057135	0.425966	
0.006645	5	9	26	28	29						0.208857	0.127016	0.179560	0.059673	0.424894	
0.006629	5	9	26	28	29						0.207598	0.126500	0.179869	0.062210	0.423822	
0.006612	5	9	26	28	29						0.206339	0.125985	0.180177	0.064749	0.422750	
0.006596	5	9	26	28	29						0.205081	0.125470	0.180486	0.067286	0.421677	
0.006580	5	9	26	28	29						0.203822	0.124954	0.180794	0.069824	0.420605	
0.006564	5	9	26	28	29						0.202563	0.124439	0.181103	0.072362	0.419533	
0.006548	5	9	26	28	29						0.201304	0.123924	0.181411	0.074901	0.418461	
0.006532	5	9	26	28	29						0.200045	0.123408	0.181720	0.077439	0.417388	
0.006515	5	9	15	26	28	29					0.199154	0.121561	0.010552	0.180563	0.074812	0.413357	
0.006499	5	9	15	26	28	29					0.197948	0.120856	0.012049	0.180664	0.076618	0.411865	
0.006483	5	9	15	26	28	29					0.196741	0.120152	0.013547	0.180765	0.078423	0.410373	
0.006467	5	9	15	26	28	29					0.195534	0.119448	0.015044	0.180865	0.080228	0.408881	
0.006451	5	9	15	26	28	29					0.194328	0.118743	0.016542	0.180966	0.082033	0.407389	
0.006435	5	9	15	26	28	29					0.193121	0.118039	0.018039	0.181066	0.083838	0.405897	
0.006418	5	9	15	26	28	29					0.191914	0.117335	0.019537	0.181167	0.085643	0.404404	
0.006402	5	9	15	26	28	29					0.190708	0.116630	0.021034	0.181268	0.087448	0.402912	
